key,flightNumber,scheduledDeparture,scheduledArrival,durationInHours,status,key:departureAirport,key:arrivalAirport,key:flight,key:aircraft,draftMode
leg-00,"ALO1234","2025/01/01 09:00","2025/01/01 00:00",2.0,"ON_TIME","airport-00","airport-01","flight-00","aircraft-00",false

leg-01,"ALO0001","2025/01/01 11:30","2025/01/01 00:00",2.0,"DELAYED","airport-00","airport-02","flight-01","aircraft-00",false

leg-02,"ALO9999","2024/12/31 23:50","2025/01/01 00:00",2.0,"CANCELLED","airport-01","airport-02","flight-02","aircraft-01",false

# durationInHours - mínimo (1 hora)
leg-03,"ALO1000","2025/02/15 12:00","2025/01/01 00:00",1.0,"ON_TIME","airport-02","airport-03","flight-00","aircraft-01",false

leg-04,"ALO2000","2025/03/01 07:00","2025/01/01 00:00",17.0,"ON_TIME","airport-02","airport-04","flight-01","aircraft-02",false

leg-05,"ALO3000","2025/04/10 06:00","2025/01/01 00:00",3.0,"CANCELLED","airport-03","airport-01","flight-02","aircraft-01",false
leg-06,"ALO3001","2025/04/15 08:00","2025/01/01 00:00",1.75,"DELAYED","airport-04","airport-00","flight-00","aircraft-02",false
leg-07,"ALO3002","2025/04/20 10:00","2025/01/01 00:00",1.5,"LANDED","airport-00","airport-01","flight-02","aircraft-00",false

leg-08,"ALO1001","2025/01/06 00:00","2025/01/01 00:00",1.0,"ON_TIME","airport-05","airport-06","flight-03","aircraft-02",false
leg-09,"BOS1002","2025/01/06 00:01","2025/01/01 00:00",2.5,"DELAYED","airport-06","airport-07","flight-04","aircraft-00",true
leg-10,"BOS1003","2025/01/07 00:00","2025/01/01 00:00",2.0,"DELAYED","airport-07","airport-13","flight-04","aircraft-00",false
leg-11,"ALO1003","2200/12/31 16:59","2025/01/01 00:00",1.0,"CANCELLED","airport-05","airport-01","flight-03","aircraft-01",false
