key,name,moment,subject,text,score,recommended
# base entity
review-00,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
# name - standard variations
review-01,L,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-02,Lo,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-05,โลเร็ม อิปซัม,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-06,لوريم إيبسوم,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-07,洛伦·伊普森,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-08,<marquee>Hacked</marquee>,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-09,<script>alert(‘Hacked!’);</script>,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-10,'' or 'A' = 'A,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
# moment - standard variations
review-11,Lorem ipsum,2000/01/01 00:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-12,Lorem ipsum,2000/01/01 00:01,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-13,Lorem ipsum,2025/01/01 00:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-14,Lorem ipsum,2024/12/31 23:59,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
# subject - standard variations
review-15,Lorem ipsum,2024/12/12 10:00,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-16,Lorem ipsum,2024/12/12 10:00,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-17,Lorem ipsum,2024/12/12 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-18,Lorem ipsum,2024/12/12 10:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-19,Lorem ipsum,2024/12/12 10:00,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-20,Lorem ipsum,2024/12/12 10:00,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-21,Lorem ipsum,2024/12/12 10:00,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-22,Lorem ipsum,2024/12/12 10:00,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-23,Lorem ipsum,2024/12/12 10:00,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
review-24,Lorem ipsum,2024/12/12 10:00,'' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua!",7.50,TRUE
# text - standard variations
review-25,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,L,7.50,TRUE
review-26,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,Lo,7.50,TRUE
review-27,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",7.50,TRUE
review-28,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",7.50,TRUE
review-29,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,โลเร็ม อิปซัม,7.50,TRUE
review-30,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,لوريم إيبسوم,7.50,TRUE
review-31,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,洛伦·伊普森,7.50,TRUE
review-32,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,<marquee>Hacked</marquee>,7.50,TRUE
review-33,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,<script>alert(‘Hacked!’);</script>,7.50,TRUE
review-34,Lorem ipsum,2024/12/12 10:00,Lorem ipsum dolor sit amet,' or 'A' = 'A,7.50,TRUE
# score - standard variations
